system:time_start,undefined
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",0.028
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",0.028
"Jan 2, 2020",0.026
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",0.026
"Jan 3, 2020",0.027
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",0.026
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",0.028
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",0.031
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",0.032
"Jan 7, 2020",0.032
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",0.032
"Jan 8, 2020",0.036
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",0.034
"Jan 9, 2020",0.034
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",0.032
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",0.032
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",0.03
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",0.03
"Jan 13, 2020",0.031
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",0.03
"Jan 14, 2020",0.031
"Jan 14, 2020",
"Jan 14, 2020",
