system:time_start,undefined
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",0.052
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 1, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",0.047
"Jan 2, 2020",0.051
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 2, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",0.043
"Jan 3, 2020",0.05
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 3, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",0.047
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 4, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",0.05
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 5, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",0.041
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 6, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",0.042
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 7, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",0.043
"Jan 8, 2020",0.05
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",0.039
"Jan 9, 2020",0.044
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 9, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",0.044
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 10, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",0.051
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 11, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",0.043
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 12, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",0.043
"Jan 13, 2020",0.044
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 13, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",0.043
"Jan 14, 2020",0.045
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
"Jan 14, 2020",
